 Radioactive Decay Experiment Jan 24, 2022 3:36 PM
Sample Number	Number of Counts
1	760
2	730
3	651
4	583
5	561
6	503
7	441
8	388
9	382
10	356
11	322
12	336
13	286
14	264
15	220
16	172
17	183
18	195
19	157
20	170
21	124
22	119
23	104
24	114
25	97
26	102
27	84
28	79
29	74
30	74
31	69
32	61
33	52
34	47
35	52
36	37
37	33
38	35
39	41
40	32
41	38
42	23
43	22
44	34
45	29
46	18
47	20
48	17
49	22
50	15
51	22
52	14
53	13
54	14
55	23
56	11
57	20
58	14
59	12
60	16
